user,user_id,degree_centrality_values,eigenvector_centrality_values,page_rank_centrality_values
michaelfarmer,1022604478,6.403688524590164e-05,0.0004366828714547153,1.5975444573842372e-05
courtneydavis,1016359538,6.403688524590164e-05,0.0004181753298075045,1.6280881618976516e-05
sandersashley,1081186287,6.403688524590164e-05,0.00041738677416465817,1.686254447288169e-05
barrylloyd,1074910837,8.538251366120219e-05,0.00041868080380093347,2.0998033893421254e-05
katherinewatson,1053680146,4.269125683060109e-05,0.0008095351063107474,1.1525516230640706e-05
brandonpeterson,1003211089,4.269125683060109e-05,0.0004159266327116423,1.2229809957722832e-05
thomas61,1007459129,4.269125683060109e-05,0.0004167159651098784,1.161352555186037e-05
karen85,1047555918,4.269125683060109e-05,0.0004164306584946347,1.1970858529553283e-05
ulopez,1074073560,6.403688524590164e-05,0.017046592555016404,1.5742331222182558e-05
robert78,1010626427,0.038144637978142076,0.7058765688042435,0.007359593048788999
suzannerobertson,1057053173,0.00010672814207650273,2.0394995779383316e-05,2.7130545012630454e-05
snydersarah,1090066179,8.538251366120219e-05,0.0004159391805154511,2.1336584000245665e-05
frenchmichael,1059046860,6.403688524590164e-05,0.00040620614760010065,1.6307410513997983e-05
amandafarley,1024548034,6.403688524590164e-05,2.9865758129871778e-06,1.635578196378229e-05
morrisrebecca,1049962082,0.00010672814207650273,1.6320833370570104e-06,2.7863961466218728e-05
brian82,1088550784,4.269125683060109e-05,7.838377195277284e-07,1.2212552328801976e-05
grant05,1014872421,4.269125683060109e-05,2.3283548387728997e-06,1.1473400328526207e-05
masonmary,1054471125,8.538251366120219e-05,0.0004252123842348784,1.915136024882985e-05
jayperez,1003451586,6.403688524590164e-05,3.006794196164664e-06,1.7212595982155914e-05
stephenthornton,1005016962,6.403688524590164e-05,0.0166517563937422,1.530492742824411e-05
dylan36,1053314032,6.403688524590164e-05,3.0324332377451202e-06,1.6890698591816477e-05
baileyalbert,1019659585,0.00012807377049180329,1.220003279093561e-05,3.0227527388545474e-05
jgarcia,1054973977,0.00010672814207650273,1.0706592193380032e-05,2.7130323213881545e-05
christina27,1003369962,0.00012807377049180329,1.0233442494671518e-05,3.193274899055167e-05
ischmidt,1076628076,4.269125683060109e-05,9.913290769696894e-06,1.201067770702305e-05
veronica32,1056824844,6.403688524590164e-05,2.082947472319837e-06,1.7097149083389537e-05
zallen,1089235956,4.269125683060109e-05,1.0611481944743732e-05,1.2250463579794216e-05
lisafisher,1075889304,4.269125683060109e-05,1.0957669818590957e-06,1.2215554485390387e-05
odickerson,1093731789,8.538251366120219e-05,3.095328471180428e-05,2.1077472510169163e-05
kennethhamilton,1083914769,4.269125683060109e-05,1.5436929738894735e-06,1.1925041708671876e-05
johnsonmonica,1051715398,4.269125683060109e-05,1.5476125901914489e-06,1.2406271003098534e-05
hhorne,1075838672,4.269125683060109e-05,1.527138968780336e-06,1.254802873213808e-05
chadpittman,1032063503,4.269125683060109e-05,1.1043643923471408e-07,1.2541034751586148e-05
kinglaura,1019594538,4.269125683060109e-05,9.845090082784065e-06,1.2575686270383278e-05
jburns,1037189942,0.00010672814207650273,1.087319556726017e-05,2.678739398610546e-05
stevenkennedy,1058363604,8.538251366120219e-05,1.1578289110882966e-05,2.078708450632867e-05
bporter,1031727745,6.403688524590164e-05,3.0764533570061467e-07,1.845580743756829e-05
williamssara,1033618354,4.269125683060109e-05,5.19876699613438e-07,1.3225652403206441e-05
cooperbrian,1073900928,4.269125683060109e-05,1.0340509785111842e-06,1.2573814652062686e-05
melissa38,1010955914,4.269125683060109e-05,1.9885600177507096e-05,1.2296931682832236e-05
dawn47,1058391264,6.403688524590164e-05,1.0879791608627175e-05,1.7974504138427447e-05
fletcherrobin,1080433461,4.269125683060109e-05,1.1057806510679363e-05,1.2539940817763225e-05
rebeccawiggins,1049706392,0.00014941939890710383,1.5855224030510513e-06,3.765038834366124e-05
qluna,1059480627,8.538251366120219e-05,0.0004054624746553158,2.291545023889053e-05
masoncraig,1087412591,4.269125683060109e-05,0.000414062137372977,1.1894239896901194e-05
qdavis,1086641441,0.00010672814207650273,0.0004042757030874293,2.5780174123758578e-05
fluna,1010439801,6.403688524590164e-05,1.9948610819354334e-05,1.676473182189243e-05
dduncan,1045309606,4.269125683060109e-05,1.3308640043776148e-06,1.186942990493691e-05
ecamacho,1019609496,6.403688524590164e-05,1.2956257502027714e-06,1.6891283233326825e-05
scottryan,1065702104,4.269125683060109e-05,0.0003941389589888562,1.2363047363294644e-05
davidhowell,1082512231,4.269125683060109e-05,0.0003943426161696255,1.2533421116760832e-05
martinezdebbie,1078312351,4.269125683060109e-05,9.618820069567966e-06,1.3036355090943225e-05
greenenicholas,1041578243,4.269125683060109e-05,1.0077719287514685e-05,1.2852340464510522e-05
conniekirby,1019602738,0.00010672814207650273,0.00040532819706917786,2.2112598808862587e-05
gandrade,1053363347,4.269125683060109e-05,1.0294074120149207e-05,1.2770109131320329e-05
erikafreeman,1007845520,4.269125683060109e-05,1.0306417568509522e-06,1.2909674376380806e-05
jbryan,1047105368,4.269125683060109e-05,2.7891746468836067e-07,1.2418457807196785e-05
christianadam,1039412246,4.269125683060109e-05,9.82117346244604e-06,1.2960233360490489e-05
johnadams,1002399330,4.269125683060109e-05,8.161633822882169e-07,1.2606139895005632e-05
olsonrachel,1059426360,4.269125683060109e-05,5.505481422258549e-07,1.2674236176989928e-05
joshua57,1020098314,4.269125683060109e-05,1.0001495382174768e-05,1.3204539126483897e-05
jerry48,1005066283,4.269125683060109e-05,0.00039433131122641485,1.230235095792331e-05
ericjenkins,1099182336,0.0004269125683060109,0.0004294948675788656,9.163055339982449e-05
angela20,1018779000,0.000234801912568306,1.1346397268518122e-05,5.166078565274058e-05
christopher98,1092217633,4.269125683060109e-05,2.020793021330368e-05,1.1203505201353719e-05
rrobbins,1038931796,0.0004269125683060109,0.00042854827393697483,9.30524675144474e-05
hintonanthony,1047197153,0.0005976775956284153,3.298253774849973e-05,0.00012842327779540117
lbush,1067915919,0.00012807377049180329,1.164986255271196e-05,2.9499695666598864e-05
crossryan,1077974289,0.0005122950819672131,0.00044871889365779243,0.00010803570505286623
mallen,1084966719,6.403688524590164e-05,3.0222394927762564e-05,1.5729820889189145e-05
aprilwatson,1082562788,0.000234801912568306,1.2641308909932036e-05,5.3223519491042314e-05
john09,1056454944,6.403688524590164e-05,1.0923877609298633e-05,1.595655417647364e-05
stevenschneider,1061858786,6.403688524590164e-05,2.0696311918754876e-05,1.6546475428649906e-05
brandon75,1005268222,0.00019211065573770491,1.9970754135400168e-05,4.4991549892156e-05
kramertina,1087945920,6.403688524590164e-05,1.0631757387562242e-05,1.5935029811273444e-05
ocosta,1078746920,6.403688524590164e-05,1.0419975172820305e-05,1.665459104584399e-05
opatterson,1000259458,6.403688524590164e-05,1.0401668458470333e-05,1.634045353171103e-05
qbruce,1051149575,8.538251366120219e-05,0.00042255838569297795,2.035108727173426e-05
carolyn77,1043967829,4.269125683060109e-05,1.0893575499834283e-05,1.1199677942403911e-05
johnsonnicholas,1085717645,4.269125683060109e-05,1.0371054226235514e-05,1.1772734178425786e-05
kenneth77,1053561688,4.269125683060109e-05,1.0350748097871325e-05,1.2464049327070106e-05
mary44,1096952622,4.269125683060109e-05,1.0365752828754497e-05,1.1674201154164056e-05
ewells,1065305623,6.403688524590164e-05,0.01665058523968925,1.4935670873663e-05
andersontammy,1065850037,0.00025614754098360657,1.8849658597961134e-06,5.7669813137888856e-05
kevinlopez,1065348250,8.538251366120219e-05,1.3097056101448815e-06,2.1328383936852776e-05
curtismichael,1033758252,4.269125683060109e-05,1.0836755795316349e-05,1.1446617549763373e-05
jaredcooper,1025862663,6.403688524590164e-05,1.223090606794576e-06,1.5848079087729405e-05
glenn15,1013939098,4.269125683060109e-05,5.343147535495784e-07,1.1533692257604357e-05
psharp,1065834952,4.269125683060109e-05,1.0462534918833844e-06,1.1515753807574924e-05
lauren99,1073116529,4.269125683060109e-05,1.0462534918833844e-06,1.1515753807574924e-05
jeremiah46,1038853275,4.269125683060109e-05,1.0462534918833844e-06,1.1515753807574924e-05
brownsamuel,1039001755,4.269125683060109e-05,2.747041345114293e-07,1.2619230227036634e-05
monica09,1073348035,0.00014941939890710383,2.145314664546494e-05,3.509073210070647e-05
tburton,1083894340,0.00019211065573770491,2.1362266953497302e-05,4.302297709574166e-05
joshuaclark,1019998361,6.403688524590164e-05,1.0365664521069635e-05,1.6776273885306202e-05
yharris,1072919020,6.403688524590164e-05,2.0911662626967053e-05,1.6224583131861238e-05
kennethjohnson,1032109917,0.00012807377049180329,0.0004050511006470231,2.9476317150236476e-05
mariahudson,1075820644,8.538251366120219e-05,1.1128136803088534e-05,2.1164102260854115e-05
kevin19,1082822840,4.269125683060109e-05,1.0586420052714386e-05,1.1724986879073875e-05
andersonlarry,1005536586,4.269125683060109e-05,1.0871283809650008e-05,1.1317631352032037e-05
bakermary,1096419153,0.00010672814207650273,1.0618851077218546e-05,2.611497594378141e-05
snguyen,1050064375,0.00010672814207650273,1.9902165960596936e-05,2.6940313989478104e-05
michael78,1065125593,6.403688524590164e-05,0.01664127502448973,1.542385958741974e-05
lopezanne,1055607468,6.403688524590164e-05,1.0354022836827308e-05,1.6997388557101472e-05
schase,1060872920,6.403688524590164e-05,1.0143441585397993e-05,1.6960496691824067e-05
evanssamantha,1044961694,6.403688524590164e-05,1.0843981669778536e-05,1.6429154505315407e-05
rfloyd,1036567701,4.269125683060109e-05,2.066178611308297e-05,1.1248495094220485e-05
james15,1048925828,4.269125683060109e-05,1.010509395891267e-05,1.2118734300037631e-05
jenniferyoung,1047451014,4.269125683060109e-05,1.0333921836288607e-05,1.2155096336512948e-05
nwallace,1016837200,0.00014941939890710383,1.5832167767088677e-06,3.495646942173513e-05
miranda56,1073478717,0.00012807377049180329,0.00040535678476762984,3.068918857719274e-05
martinjennifer,1017229199,0.00014941939890710383,1.1665363283572127e-05,3.530562844993004e-05
walkerbianca,1057026885,0.00012807377049180329,1.0442405309481047e-06,3.2898397452057325e-05
nbell,1043629759,0.00025614754098360657,0.000415277822221989,5.726217655681209e-05
anthony37,1032132964,6.403688524590164e-05,1.286473011061183e-06,1.6500415191583287e-05
woodkatherine,1083860064,4.269125683060109e-05,1.0558179834797664e-05,1.176794581894973e-05
justin31,1085516094,4.269125683060109e-05,7.969699827197736e-07,1.1753757091200088e-05
andrewwilson,1069836570,4.269125683060109e-05,1.0239928213880582e-06,1.2039212518510207e-05
perezalexis,1092135873,4.269125683060109e-05,1.2499069927905465e-06,1.1966528313089366e-05
jameslong,1076554888,4.269125683060109e-05,7.861008106126388e-07,1.2025870412407783e-05
smithkimberly,1072244719,4.269125683060109e-05,8.020508188516838e-07,1.212034773557577e-05
smartinez,1081277350,4.269125683060109e-05,8.228671455618534e-07,1.1455473736450328e-05
johnsonjoseph,1051405035,4.269125683060109e-05,1.1347431399613569e-05,1.1244667835270679e-05
guerreromichael,1069128917,6.403688524590164e-05,1.0128952417098078e-06,1.6209477361523584e-05
williamssteven,1071015285,8.538251366120219e-05,2.993465991233123e-05,2.0647987999217728e-05
davidsmith,1048471281,4.269125683060109e-05,5.732053892069731e-07,1.1560588071379222e-05
burgesspreston,1085212129,6.403688524590164e-05,5.211037593619449e-07,1.7287388272295814e-05
mccormickbrandon,1020373478,0.00029883879781420766,1.129287352302483e-05,6.664847249466502e-05
katherinewong,1064723533,0.000234801912568306,1.0852967466485378e-06,5.35649862237324e-05
shawnperez,1032042386,4.269125683060109e-05,8.169613874904716e-08,1.1951776358537733e-05
james94,1098438366,4.269125683060109e-05,8.169613874904716e-08,1.1951776358537733e-05
nguyenashley,1065143559,8.538251366120219e-05,1.1106055839107352e-05,2.1112912909547528e-05
qarnold,1035231966,4.269125683060109e-05,2.9562060024541785e-07,1.1796156034317552e-05
mooreelizabeth,1038032308,4.269125683060109e-05,8.169613874904716e-08,1.1951776358537733e-05
framirez,1083404381,4.269125683060109e-05,5.486263114662774e-07,1.1350117626570285e-05
nburns,1090125537,8.538251366120219e-05,1.0862659895786647e-05,2.188411766419628e-05
lindseyclarke,1009598911,0.00019211065573770491,0.0008097205752995363,4.284890142556843e-05
anthonykhan,1072751254,0.00010672814207650273,1.0643260937633988e-05,2.530881722285577e-05
chelsea24,1072499463,8.538251366120219e-05,1.1119688717493275e-05,2.1263368322111827e-05
qpitts,1017791154,0.00010672814207650273,1.114062438309286e-05,2.5500117638796013e-05
georgegary,1091827726,4.269125683060109e-05,1.0831083496698633e-05,1.171941548786566e-05
wsoto,1045530624,4.269125683060109e-05,1.0606260392800763e-05,1.174097045735808e-05
williamsjessica,1098400959,8.538251366120219e-05,0.01665119137873649,2.027339429145872e-05
xtaylor,1061068817,4.269125683060109e-05,1.0606260392800763e-05,1.174097045735808e-05
geaton,1079691615,4.269125683060109e-05,1.0599268960987618e-05,1.194552998198732e-05
schwartzmichele,1099577745,0.00014941939890710383,8.107883392879405e-07,3.6403698112971616e-05
kevin10,1035068688,0.00012807377049180329,2.993019881074417e-07,3.115776858025849e-05
tonya35,1072316195,0.00014941939890710383,7.856136775461531e-07,3.6783092587236695e-05
jacksonmichael,1031889046,6.403688524590164e-05,9.497987953366132e-07,1.7347908959599498e-05
rowejessica,1092654337,4.269125683060109e-05,7.728825105477098e-07,1.1476491914110982e-05
shayes,1078825829,4.269125683060109e-05,5.171676867670136e-07,1.1806265754871805e-05
velazquezrobin,1084158242,4.269125683060109e-05,5.294581307985969e-07,1.1534419712995295e-05
wattsphillip,1095609304,8.538251366120219e-05,2.8887082969824035e-05,2.1003704498066745e-05
kelliejones,1070133920,4.269125683060109e-05,9.802522877457818e-07,1.1790152367385843e-05
jonestara,1016885975,4.269125683060109e-05,1.936591719799422e-05,1.1475497982066408e-05
michaelrussell,1007721131,4.269125683060109e-05,3.049237151334207e-07,1.2360350718125748e-05
cory52,1068743272,4.269125683060109e-05,5.193805549284152e-07,1.1816997860019195e-05
colemandylan,1030373540,0.00010672814207650273,4.405827517144099e-08,2.755568470622167e-05
carl89,1041087865,4.269125683060109e-05,4.754247284793315e-07,1.2106109197314337e-05
cjohnson,1037678029,4.269125683060109e-05,9.564618710558098e-06,1.1747550386725322e-05
omarsh,1044910474,4.269125683060109e-05,3.760500507435484e-08,1.2041226529705434e-05
danablanchard,1085074868,4.269125683060109e-05,9.81942958005958e-07,1.1615038065530093e-05
fishermarcus,1018603895,4.269125683060109e-05,9.80528171584762e-06,1.2127317551999886e-05
greenkaren,1040013574,8.538251366120219e-05,2.77286384649755e-07,2.2537513820248567e-05
turnerheather,1054724844,6.403688524590164e-05,4.770346517511419e-07,1.7490524101001886e-05
smithsusan,1086727385,4.269125683060109e-05,9.563883553635575e-06,1.2216440943376084e-05
mgarrett,1004631619,4.269125683060109e-05,3.261812525546121e-08,1.221787820292988e-05
saundersaaron,1095645623,4.269125683060109e-05,3.209868066713218e-08,1.2383666096517236e-05
rachaelalvarado,1031549882,4.269125683060109e-05,1.0105804147859399e-06,1.1353197354201506e-05
brittany05,1029362704,8.538251366120219e-05,1.0013923798312924e-06,2.2402672450051852e-05
veronica02,1038145450,6.403688524590164e-05,7.630779792909303e-07,1.631721068774805e-05
michael21,1099970258,4.269125683060109e-05,7.795163554268197e-07,1.1352595852158413e-05
brett77,1062030473,0.00034153005464480874,1.6419233266408996e-05,6.52101425390289e-05
xpotter,1076004378,4.269125683060109e-05,2.6826442158673897e-07,1.2743967757278924e-05
cody60,1024749984,8.538251366120219e-05,2.8662563702158036e-05,2.1243109743842374e-05
jcox,1061776172,6.403688524590164e-05,0.0166404460873989,1.5579037168599688e-05
phillipsdesiree,1093503759,4.269125683060109e-05,9.570116134184837e-06,1.1761596298377725e-05
catherine67,1062241902,6.403688524590164e-05,4.902492304672195e-07,1.798175940470492e-05
douglas66,1022891587,4.269125683060109e-05,1.3583947642076291e-08,1.2568996740264575e-05
lyonsdamon,1065098895,6.403688524590164e-05,5.273755850318501e-07,1.724321102023657e-05
tiffanyevans,1078643052,8.538251366120219e-05,3.2405738123227034e-07,2.1703925628522827e-05
bellkyle,1084859736,6.403688524590164e-05,4.990812084742416e-07,1.7259716234745932e-05
wlyons,1044101168,6.403688524590164e-05,2.8207422789459747e-07,1.7325750076058405e-05
jillian28,1014497832,4.269125683060109e-05,1.90788734337695e-05,1.2205331347689623e-05
smithjoshua,1018951442,6.403688524590164e-05,0.016650008445862,1.5593062141585017e-05
nsmith,1016284005,4.269125683060109e-05,2.63677141152477e-07,1.2238853056004797e-05
troydiaz,1088143815,4.269125683060109e-05,1.9545250756651743e-08,1.2403173159921482e-05
cynthia24,1018197286,6.403688524590164e-05,2.935064492840697e-07,1.681078374643408e-05
rhiggins,1094072889,6.403688524590164e-05,4.8149098262570137e-08,1.7596271953958968e-05
ryangraves,1047332073,4.269125683060109e-05,2.6404253416514676e-07,1.213020354688882e-05
julie58,1073223493,8.538251366120219e-05,0.00040314224550887354,2.2652465492655112e-05
walkerjessica,1022346179,4.269125683060109e-05,1.0251157731407605e-05,1.2420670038956865e-05
hkennedy,1032222780,4.269125683060109e-05,1.1481296111579397e-06,1.2605569093382416e-05
thomas39,1081539622,4.269125683060109e-05,4.725789114943354e-07,1.3231898207623182e-05
zarcher,1037544423,4.269125683060109e-05,7.343747657423435e-07,1.2169205482972998e-05
mezasteven,1097477669,4.269125683060109e-05,1.931803241120268e-05,1.2311210936193428e-05
hudsonjohn,1001778892,6.403688524590164e-05,1.9329229127437598e-05,1.7790645837523866e-05
millerjoseph,1086950765,6.403688524590164e-05,0.00040334260882185247,1.658476154819533e-05
wwilliamson,1062002309,4.269125683060109e-05,9.791470376359135e-06,1.3182460446414705e-05
catherinemorgan,1053634957,4.269125683060109e-05,1.0041831931882727e-05,1.2242693471544714e-05
colin59,1094973910,6.403688524590164e-05,9.982091628909113e-06,1.6919627244403358e-05
alyssa23,1080723337,0.000234801912568306,1.1668355834200546e-05,5.319881695519032e-05
zbarr,1024228147,6.403688524590164e-05,1.0214172857427061e-05,1.6985547406473263e-05
matthew94,1038123876,6.403688524590164e-05,2.795486269802511e-07,1.7903401148810334e-05
robertsphillip,1000637777,0.00012807377049180329,3.938277026682234e-05,2.6817652915606713e-05
stephenmack,1005703411,4.269125683060109e-05,0.00039360435643187976,1.1950814830777949e-05
michelle95,1095353499,4.269125683060109e-05,4.764088805374354e-07,1.315391663121527e-05
sherrilopez,1016159217,0.0005122950819672131,3.380723098330043e-05,0.00010960599121213164
johnsonabigail,1006949980,0.0003628756830601093,1.2521601916567412e-05,7.953402709349939e-05
daniel88,1054652603,0.0005122950819672131,0.00042068878627902275,0.00011032461471653836
caroline00,1055114697,0.0007897882513661202,0.0004534084872120848,0.00016731577095903508
ejones,1086412876,0.00019211065573770491,1.1484948829819583e-05,4.415457367763394e-05
millerrebekah,1047929608,4.269125683060109e-05,1.5527537115483944e-06,1.147294615448736e-05
patrick75,1095412941,0.00010672814207650273,1.153067992531911e-05,2.7354615386555705e-05
eric25,1070045825,0.00014941939890710383,1.1207559735103702e-05,3.5367252896953354e-05
vpena,1043452431,6.403688524590164e-05,1.1484398280394666e-05,1.6611850201308153e-05
eric88,1090904318,4.269125683060109e-05,1.0705058353782713e-05,1.1454831456638419e-05
ubarnes,1057594010,0.00025614754098360657,0.0004067764208056598,5.8341887301711614e-05
alexandermiller,1017764910,4.269125683060109e-05,1.147731892749694e-05,1.1434022381995252e-05
patricia63,1029155558,0.00012807377049180329,1.0767041991639538e-05,3.103407842532901e-05
aaronstevens,1059461248,8.538251366120219e-05,1.0766585600128878e-06,2.18939106690661e-05
rogerscarlos,1099753187,6.403688524590164e-05,1.0414700073228865e-05,1.6682709208668745e-05
delacruzcourtney,1023132251,6.403688524590164e-05,1.279966378623033e-06,1.6425861149844914e-05
